CAM:	@@@ .. @@ (H)=	No=,
No=,	he doesn't --
he doesn't --	.. He [doesn't] .. ca=ll really,
.. He [doesn't] .. ca=ll really,	LAJUAN:	[(THROAT)]
LAJUAN:	[(THROAT)]	CAM:	.. I don't --
CAM:	.. I don't --	(H) The only thing is like at at ho=me,
(H) The only thing is like at at ho=me,	sometimes he likes to sit by me and [stuff like],
sometimes he likes to sit by me and [stuff like],	LAJUAN:	[(TSK) (H)] I forgot to tell you,
LAJUAN:	[(TSK) (H)] I forgot to tell you,	look for the house with the reindeer.
look for the house with the reindeer.	You could find it a lot easier if you couldn't remember where we were.
You could find it a lot easier if you couldn't remember where we were.	CAM:	<X Oh [really X>?
CAM:	<X Oh [really X>?	LAJUAN:	[(H) <@ (Hx) @>]
LAJUAN:	[(H) <@ (Hx) @>]	CAM:	.. I always] remember <X at X>,
CAM:	.. I always] remember <X at X>,	LAJUAN:	.. Once you get [2to it2],
LAJUAN:	.. Once you get [2to it2],	CAM:	[2Once I2] see it,
CAM:	[2Once I2] see it,	I know,
I know,	oh that's it.
oh that's it.	LAJUAN:	... Yeah,
LAJUAN:	... Yeah,	CAM:	I'll look at some of the houses,
CAM:	I'll look at some of the houses,	I'm like ooh,
I'm like ooh,	is it this one,
is it this one,	is this one it,
is this one it,	.. and then I just- --
.. and then I just- --	Oh no,
Oh no,	that's the one.
that's the one.	LAJUAN:	.. (H) Yeah,
LAJUAN:	.. (H) Yeah,	the one with the two reindeer that,
the one with the two reindeer that,	Mark and Tim last year took and put on top of each other as if they were humping.
Mark and Tim last year took and put on top of each other as if they were humping.	I was like- <VOX (H) VOX>.
I was like- <VOX (H) VOX>.	.. (H) .. <@ Neighbors are gonna see this @>,
.. (H) .. <@ Neighbors are gonna see this @>,	(H) [so I went out in the] morning I'm like,
(H) [so I went out in the] morning I'm like,	CAM:	[Oh <% Go=d %>].
CAM:	[Oh <% Go=d %>].	LAJUAN:	<VOX (H)= VOX>,
LAJUAN:	<VOX (H)= VOX>,	.. so I get out of my car,
.. so I get out of my car,	stop in the driveway @@@,
stop in the driveway @@@,	<SM take em off of each other SM>.
<SM take em off of each other SM>.	I was like,
I was like,	(H) I'll just kill them.
(H) I'll just kill them.	CAM:	Those naughty boys.
CAM:	Those naughty boys.	LAJUAN:	.. (H) But um,
LAJUAN:	.. (H) But um,	... mm,
... mm,	.. no,
.. no,	he just --
he just --	... (H) He he,
... (H) He he,	.. he's become mo=re .. atta=ched.
.. he's become mo=re .. atta=ched.	... and,
... and,	.. uh- I think a lot of it is because a lot of his,
.. uh- I think a lot of it is because a lot of his,	.. friends have now gotten married,
.. friends have now gotten married,	and have children,
and have children,	(H) and he doesn't .. do as much with them.
(H) and he doesn't .. do as much with them.	... And I think that's why,
... And I think that's why,	but he has gotten so= att[ached] to me and it,
but he has gotten so= att[ached] to me and it,	CAM:	[(THROAT)]
CAM:	[(THROAT)]	LAJUAN:	(H) .. I've always been very indepe=ndent,
LAJUAN:	(H) .. I've always been very indepe=ndent,	.. (H) and a lot of it had to do with like me growing up the way I did,
.. (H) and a lot of it had to do with like me growing up the way I did,	with my .. my um,
with my .. my um,	.. my mother dying,
.. my mother dying,	CAM:	... Mhm,
CAM:	... Mhm,	LAJUAN:	younger,
LAJUAN:	younger,	and then living with my one aunt,
and then living with my one aunt,	and then my I- aunt died when I was twelve,
and then my I- aunt died when I was twelve,	(H) and then moving to another aunt,
(H) and then moving to another aunt,	which was moving up he=re,
which was moving up he=re,	(H) and,
(H) and,	.. I I've always had to go ba=ck and forth,
