SETH:	... Excuse me.	>ENV:	... ((DOG_BARKING_BEGINS))
>ENV:	... ((DOG_BARKING_BEGINS))	LARRY:	... Hey,
LARRY:	... Hey,	how are you guy?
how are you guy?	SETH:	... Are you ~Larry?
SETH:	... Are you ~Larry?	... Are you ~Larry?
... Are you ~Larry?	LARRY:	... Yes.
LARRY:	... Yes.	[How are you].
[How are you].	SETH:	[Are you] --
SETH:	[Are you] --	.. You're the guy.
.. You're the guy.	LARRY:	... Hunh=?
LARRY:	... Hunh=?	SETH:	.. You're the guy to talk to then.
SETH:	.. You're the guy to talk to then.	LARRY:	I'm the guy.
LARRY:	I'm the guy.	[Yeah].
[Yeah].	SETH:	[@@]
SETH:	[@@]	(H) I didn't know if I had the right place.
(H) I didn't know if I had the right place.	LARRY:	..  <@ Yeah,
LARRY:	..  <@ Yeah,	you got it @>.
you got it @>.	.. I just --
.. I just --	SETH:	... What are you doing there.
SETH:	... What are you doing there.	LARRY:	<@ You're probably trying t- @> --
LARRY:	<@ You're probably trying t- @> --	.. <VOX Yeah this is strange,
.. <VOX Yeah this is strange,	what's this [guy] doing VOX>.
what's this [guy] doing VOX>.	SETH:	            [@@]
SETH:	            [@@]	LARRY:	.. I'm putting water in a ... <X twenty-six X> gallon container,
LARRY:	.. I'm putting water in a ... <X twenty-six X> gallon container,	inside my ... truck.
inside my ... truck.	>ENV:	((DOG_BARKING_ENDS))
>ENV:	((DOG_BARKING_ENDS))	SETH:	... Wow.
SETH:	... Wow.	.. [That's quite a p-] --
.. [That's quite a p-] --	LARRY:	   [Cause I had to] haul it to a property,
LARRY:	   [Cause I had to] haul it to a property,	which doesn't have any water,
which doesn't have any water,	.. and I have to spray the road.
.. and I have to spray the road.	SETH:	.. Ah=.
SETH:	.. Ah=.	LARRY:	.. @@
LARRY:	.. @@	... [Cause the road] .. before .. you can drive on it,
... [Cause the road] .. before .. you can drive on it,	SETH:	    [Interesting].
SETH:	    [Interesting].	LARRY:	it needs ... more uh --
LARRY:	it needs ... more uh --	... more ... stability.
... more ... stability.	... Evidently.
... Evidently.	... So give me one second to lock this thing,
... So give me one second to lock this thing,	[and then XX],
[and then XX],	SETH:	[Is that to keep the] dust,
SETH:	[Is that to keep the] dust,	.. keep the dust down?
.. keep the dust down?	LARRY:	... well (Hx),
LARRY:	... well (Hx),	no,
no,	.. it's not that so much,
.. it's not that so much,	it's uh,
it's uh,	>ENV:	((DOG_BARKING_BEGINS)
>ENV:	((DOG_BARKING_BEGINS)	LARRY:	they put,
LARRY:	they put,	... they put a= uh,
... they put a= uh,	... a type of uh .. base on it that needs water and,
... a type of uh .. base on it that needs water and,	>ENV:	((DOG_BARKING_ENDS))
>ENV:	((DOG_BARKING_ENDS))	LARRY:	... that just hasn't happened yet.
LARRY:	... that just hasn't happened yet.	SETH:	... [Oh],
SETH:	... [Oh],	LARRY:	    [X] --
LARRY:	    [X] --	SETH:	I see.
SETH:	I see.	... So there's some chemical reaction that has to take [place],
... So there's some chemical reaction that has to take [place],	LARRY:	                                                       [Yeah].
LARRY:	                                                       [Yeah].	.. I guess ... <P a good a- ... analogy P>.
.. I guess ... <P a good a- ... analogy P>.	>ENV: ((DOG_BARKING_BEGINS))
>ENV: ((DOG_BARKING_BEGINS))	LARRY:	... <X #Chelsea X>,
LARRY:	... <X #Chelsea X>,	no.
no.	>ENV:	... ((DOG_BARKING_ENDS))
>ENV:	... ((DOG_BARKING_ENDS))	LARRY:	.. That should hold it in there.
LARRY:	.. That should hold it in there.	... Okay.
... Okay.	... [Nice to meet you].
... [Nice to meet you].	SETH:	    [How you doing].
SETH:	    [How you doing].	Good to see you.
Good to see you.	LARRY:	What's your name?
LARRY:	What's your name?	>ENV:	((DOG_BARKING_BEGINS))
>ENV:	((DOG_BARKING_BEGINS))	SETH:	.. ~Seth.
SETH:	.. ~Seth.	LARRY:	~Seth.
LARRY:	~Seth.	Okay.
Okay.	SETH:	.. Here's my card here.
SETH:	.. Here's my card here.	LARRY:	.. Thanks ~Seth.
LARRY:	.. Thanks ~Seth.	>ENV:	((DOG_BARKING_ENDS))
>ENV:	((DOG_BARKING_ENDS))	LARRY:	... <X I think it's warming up a bit here X>.
LARRY:	... <X I think it's warming up a bit here X>.	SETH:	... Is this the house we're looking at?
SETH:	... Is this the house we're looking at?	LARRY:	... I'll take you down in the basement.
LARRY:	... I'll take you down in the basement.	SETH:	... Is the furnace down in the basement?
SETH:	... Is the furnace down in the basement?	LARRY:	... What's left of it,
LARRY:	... What's left of it,	yeah.
yeah.	SETH:	.. @@
SETH:	.. @@	LARRY:	.. @@@ 
LARRY:	.. @@@ 	.. [We had all these] --
.. [We had all these] --	SETH:	   [Is it a .. ol=d] system?
SETH:	   [Is it a .. ol=d] system?	LARRY:	.. Yeah (Hx).
LARRY:	.. Yeah (Hx).	.. We had the asbestos uh all removed from it and,
.. We had the asbestos uh all removed from it and,	... and uh,
... and uh,	SETH:	.. Oh really.
SETH:	.. Oh really.	LARRY:	... so that's been done.
LARRY:	... so that's been done.	SETH:	I was j- --
SETH:	I was j- --	.. I was just at a place that does asbestos removal.
.. I was just at a place that does asbestos removal.	LARRY:	.. Yeah,
LARRY:	.. Yeah,	.. [where],
.. [where],	SETH:	   [Cal] --
SETH:	   [Cal] --	.. Cal Tech?
.. Cal Tech?	LARRY:	.. they're the guys that did it.
LARRY:	.. they're the guys that did it.	SETH:	... <@ Are they?
SETH:	... <@ Are they?	... [Alright @>].
... [Alright @>].	LARRY:	    [Yeah],
LARRY:	    [Yeah],	SETH:	.. (H )[2=2]
SETH:	.. (H )[2=2]	LARRY:	       [2that's down2] in Berkeley,
LARRY:	       [2that's down2] in Berkeley,	right?
right?	SETH:	No they're --
SETH:	No they're --	.. they've got an office here in Nappa.
.. they've got an office here in Nappa.	LARRY:	... Cal Tech.
LARRY:	... Cal Tech.	<X What was the X> --
<X What was the X> --	No.
No.	.. Synergy.
.. Synergy.	.. That's who.
.. That's who.	SETH:	Synergy.
SETH:	Synergy.	.. [Dif- .. different] one.
.. [Dif- .. different] one.	LARRY:	   [%I= I'm sorry].
LARRY:	   [%I= I'm sorry].	It's a different outfit.
It's a different outfit.	I didn't know they had one up here.
I didn't know they had one up here.	SETH:	Yeah.
SETH:	Yeah.	Though I think they had just recently mo=ved here.
Though I think they had just recently mo=ved here.	LARRY:	Unhunh.
LARRY:	Unhunh.	SETH:	... (H) .. Cause I was wondering [t-] --
SETH:	... (H) .. Cause I was wondering [t-] --	LARRY:	[So where's] the man with the uh .. camera,
LARRY:	[So where's] the man with the uh .. camera,	[2and the2] --
[2and the2] --	SETH:	[2Oh2] I got the --
SETH:	[2Oh2] I got the --	.. I got my record[3er right here3].
.. I got my record[3er right here3].	LARRY:	                  [3@@@3]@@@@@
LARRY:	                  [3@@@3]@@@@@	... That's pretty clever.
... That's pretty clever.	SETH:	... Yeah,
SETH:	... Yeah,	my brother is uh,
my brother is uh,	... teaches linguistics,
... teaches linguistics,	and I guess he's doing this study,
and I guess he's doing this study,	LARRY:	Oh=,
LARRY:	Oh=,	<X okay X>,
<X okay X>,	SETH:	... and they just want ... business conversations.
SETH:	... and they just want ... business conversations.	LARRY:	... alright.
LARRY:	... alright.	.. Well?
.. Well?	SETH:	... Wow.
SETH:	... Wow.	LARRY:	... Here's the animal (hx).
LARRY:	... Here's the animal (hx).	SETH:	My= go=sh.
SETH:	My= go=sh.	... @@ (H)
... @@ (H)	LARRY:	(H)
LARRY:	(H)	SETH:	W=ow.
SETH:	W=ow.	LARRY:	They took ... uh some of it with em obviously.
LARRY:	They took ... uh some of it with em obviously.	SETH:	Did this used to be --
SETH:	Did this used to be --	.. used to be an old oil &
.. used to be an old oil &	LARRY:	... Yeah.
LARRY:	... Yeah.	.. I think it was an [old],
.. I think it was an [old],	SETH:	                   & [fire]?
SETH:	                   & [fire]?	LARRY:	... I think it was an old,
LARRY:	... I think it was an old,	... see the .. oil <<THUMP +++ +tank THUMP>> here?
... see the .. oil <<THUMP +++ +tank THUMP>> here?	Isn't that an oil tank?
Isn't that an oil tank?	SETH:	Yeah.
SETH:	Yeah.	LARRY:	... That's what my guess is.
LARRY:	... That's what my guess is.	... A=nd [uh (Hx)],
... A=nd [uh (Hx)],	X:	         [<<THUMP ++++++]++[2+++ THUMP>>2]
X:	         [<<THUMP ++++++]++[2+++ THUMP>>2]	SETH:	                           [2Wow2].
