#FOSTER:	So Erasmus laid the the- --	laid the egg,
laid the egg,	which Luther hatched.
which Luther hatched.	... (TSK) And um,
... (TSK) And um,	.. when you come then,
.. when you come then,	.. to= (Hx),
.. to= (Hx),	uh,
uh,	however this debate.
however this debate.	.. This freedom of the will.
.. This freedom of the will.	(H) Um,
(H) Um,	... I think uh,
... I think uh,	let me read you a .. page from Brendler.
let me read you a .. page from Brendler.	.. Because it sets the sa- stage very nicely.
.. Because it sets the sa- stage very nicely.	This is in the Luther book some of you are reading,
This is in the Luther book some of you are reading,	(H) and um,
(H) and um,	... if you,
... if you,	(H) this evening when you go home,
(H) this evening when you go home,	if you wanna meditate it on more,
if you wanna meditate it on more,	(Hx) on- on it more,
(Hx) on- on it more,	it's on page three eleven.
it's on page three eleven.	... (TSK) (H) It's on page three eleven.
... (TSK) (H) It's on page three eleven.	.. (H) But,
.. (H) But,	let me just read you the-,
let me just read you the-,	cause this gives us the setting very nicely,
cause this gives us the setting very nicely,	and then .. we can .. uh,
and then .. we can .. uh,	.. (H) <READ Erasmus entitled his anti-Luther pamphlet,
.. (H) <READ Erasmus entitled his anti-Luther pamphlet,	... diatribe .. concerning free will.
... diatribe .. concerning free will.	... (TSK) (H) Once again,
... (TSK) (H) Once again,	... the first .. (H) and fundamental questions,
... the first .. (H) and fundamental questions,	disputed in fifteen sixteen,
disputed in fifteen sixteen,	and fifteen seventeen,
and fifteen seventeen,	and again in Heidelberg,
and again in Heidelberg,	.. in April of fifteen eighteen,
.. in April of fifteen eighteen,	(H)= with which Luther had opened the assault on scholastic theology,
(H)= with which Luther had opened the assault on scholastic theology,	were debated.
were debated.	... Luther was glad to take up the the=me of this debate READ>.
... Luther was glad to take up the the=me of this debate READ>.	... (TSK) And this is what Luther writes to Erasmus.
... (TSK) And this is what Luther writes to Erasmus.	(H) ... <READ You alo=ne.
(H) ... <READ You alo=ne.	... Among all= the others,
... Among all= the others,	(H) have recogni=zed the key= question.
(H) have recogni=zed the key= question.	(H) And you do not bore me.
(H) And you do not bore me.	(H) With the Papacy,
(H) With the Papacy,	.. purgatory,
.. purgatory,	.. indulgences,
.. indulgences,	.. and similar nonsense.
.. and similar nonsense.	(H) You,
(H) You,	and you alone,
and you alone,	have identifie=d that on which a=ll else hinges.
have identifie=d that on which a=ll else hinges.	(H) And you have put the razor to the throat.
(H) And you have put the razor to the throat.	(H) And for that .. I thank you heartily.
(H) And for that .. I thank you heartily.	... (H) U=m,
... (H) U=m,	.. thus Luther evalu- uh evaluated the subject.
.. thus Luther evalu- uh evaluated the subject.	And Erasmus commented on the significance (H) of their engagement,
And Erasmus commented on the significance (H) of their engagement,	.. in battle,
.. in battle,	.. in his own style READ>.
.. in his own style READ>.	.. (TSK) (H) And he wrote to Luther.
.. (TSK) (H) And he wrote to Luther.	<READ .. (TSK) (H) Perhaps an Erasmus ... who writes ... against you,
<READ .. (TSK) (H) Perhaps an Erasmus ... who writes ... against you,	(H) will do more for the Gospel,
(H) will do more for the Gospel,	(H) than certain dunderheads ... who support you READ>.
(H) than certain dunderheads ... who support you READ>.	... (H) And then,
... (H) And then,	.. <READ humanistic thinking,
.. <READ humanistic thinking,	will never consent READ>,
will never consent READ>,	.. this is Brendler now,
.. this is Brendler now,	obs- --
obs- --	uh on this uh,
uh on this uh,	but this sets the stage for what we're gonna .. talk about,
but this sets the stage for what we're gonna .. talk about,	(H) <READ humanistic thinking will never conse=nt,
(H) <READ humanistic thinking will never conse=nt,	to the doctrine of original sin READ>.
to the doctrine of original sin READ>.	... (TSK) Pico de la Mirandela would not have consented to the doctrine of original sin.
... (TSK) Pico de la Mirandela would not have consented to the doctrine of original sin.	.. (H) (TSK) The author of uh,
.. (H) (TSK) The author of uh,	.. what is it,
.. what is it,	Houseman I think,
Houseman I think,	of Invictus.
of Invictus.	.. <Q I am the master of my fate,
.. <Q I am the master of my fate,	(H) I am the captain of my soul Q>.
(H) I am the captain of my soul Q>.	(H) I don't think that he would (Hx) .. acknowledge original sin.
(H) I don't think that he would (Hx) .. acknowledge original sin.	(H) <READ Is based READ> uh,
(H) <READ Is based READ> uh,	alright,
alright,	what is it,
what is it,	it's <READ based,
it's <READ based,	as it is,
as it is,	on the concept,
on the concept,	that human nature is totally depraved,
that human nature is totally depraved,	(H) and of itself not capable of any good will.
(H) and of itself not capable of any good will.	(H) (TSK) And that apart from grace alone,
(H) (TSK) And that apart from grace alone,	(H) free will is nothing,
(H) free will is nothing,	.. can do nothing,
.. can do nothing,	.. does nothing,
.. does nothing,	(H) except depraved deeds.
(H) except depraved deeds.	(H) Even though these pronouncements are Biblically based,
(H) Even though these pronouncements are Biblically based,	.. and may be acceptable within an exclusively theological system,
.. and may be acceptable within an exclusively theological system,	(H) they do not appear ... (SWALLOW) reconcilable with the dignity of man- --
(H) they do not appear ... (SWALLOW) reconcilable with the dignity of man- --	dignity of man.
dignity of man.	(H) Catholic,
(H) Catholic,	... and semi-pelagianism,
... and semi-pelagianism,	... (TSK) with all of it's emphasis on on the role of prevenient grace,
... (TSK) with all of it's emphasis on on the role of prevenient grace,	(H) finally views,
(H) finally views,	.. free will,
.. free will,	.. as the decisive factor in attaining salvation.
.. as the decisive factor in attaining salvation.	(H) Thereby conceptualizing free will,
(H) Thereby conceptualizing free will,	(H) as similar to a healthy .. man- --
(H) as similar to a healthy .. man- --	healthy human understanding,
healthy human understanding,	(H) for how can a person,
(H) for how can a person,	(H) be responsible for his dee=ds,
(H) be responsible for his dee=ds,	.. if he possesses no free will READ>.
.. if he possesses no free will READ>.	... This is what Erasmus asked.
... This is what Erasmus asked.	... (H) (TSK) <READ How can he decide between good and evil.
... (H) (TSK) <READ How can he decide between good and evil.	... So reasoned Erasmus.
... So reasoned Erasmus.	(H) Such arguments,
(H) Such arguments,	... long known to Luther,
... long known to Luther,	... and many times .. presented to him,
... and many times .. presented to him,	.. impressed him (H) not in the least.
.. impressed him (H) not in the least.	... (TSK) God alo=ne is salvation.
... (TSK) God alo=ne is salvation.	(H) God alo=ne measures guilt.
(H) God alo=ne measures guilt.	(H) He alone condemns.
(H) He alone condemns.	He alone grants grace.
He alone grants grace.	Justifies and saves.
Justifies and saves.	.. When he will,
.. When he will,	.. and whom he will.
.. and whom he will.	(H) Ma=n can do nothing against the divine prerogative.
(H) Ma=n can do nothing against the divine prerogative.	(H) Man can only accept the divine judgment.
(H) Man can only accept the divine judgment.	... (TSK) This is in fact best.
... (TSK) This is in fact best.	(H) And if by --
(H) And if by --	(H) And --
(H) And --	.. and it is by the divine prerogative,
.. and it is by the divine prerogative,	.. that man .. will --
.. that man .. will --	(H) uh=,
(H) uh=,	that man is well provided for.
that man is well provided for.	.. For God alone is infallible,
.. For God alone is infallible,	.. and his being is grace and mercy.
.. and his being is grace and mercy.	... (TSK) This concept,
... (TSK) This concept,	(H) ... that man is divinely elected to salvation,
(H) ... that man is divinely elected to salvation,	or to damnation,
or to damnation,	(H) is the center of the predestination dogma.
(H) is the center of the predestination dogma.	.. That later,
.. That later,	.. the Geneva reformer Calvin,
.. the Geneva reformer Calvin,	(H) made the center of his teaching.
(H) made the center of his teaching.	(H) And that subsequently,
(H) And that subsequently,	under other historical preconditions and circumstances,
under other historical preconditions and circumstances,	(H) could be linked closely with a prosperous middle class,
(H) could be linked closely with a prosperous middle class,	in the Netherlands,
in the Netherlands,	and in England READ>.
and in England READ>.	(H) ... U=m,
(H) ... U=m,	... uh=,
... uh=,	skip this paragraph,
skip this paragraph,	this is the paragraph though.
this is the paragraph though.	Right here.
Right here.	The next one.
The next one.	(TSK) (H) .. P- on page three twelve.
(TSK) (H) .. P- on page three twelve.	When you,
When you,	.. when you read- --
.. when you read- --	if you wanna read it later.
if you wanna read it later.	(H) <READ Therefore,
(H) <READ Therefore,	.. Luther did not accept rational arguments against predestination doctrine.
.. Luther did not accept rational arguments against predestination doctrine.	(H) Such arguments,
(H) Such arguments,	on the contrary,
on the contrary,	necessarily appeared to Luther,
necessarily appeared to Luther,	(H) given his theological orientation,
(H) given his theological orientation,	(H) as suspicious.
(H) as suspicious.	.. From the very start.
.. From the very start.	(H) Because they originated from human nature.
(H) Because they originated from human nature.	(H) Which exalted itself against God.
(H) Which exalted itself against God.	.. (H) The who=re .. reason.
.. (H) The who=re .. reason.	(H) Prefers to submit to the Devil.
(H) Prefers to submit to the Devil.	(H) Adjusts to all situations.
(H) Adjusts to all situations.	(H) And proves .. everything,
(H) And proves .. everything,	that is demanded of her.
that is demanded of her.	... Human nature,
... Human nature,	.. <MRC does not .. possess .. free will MRC>.
.. <MRC does not .. possess .. free will MRC>.	(H) It is like a horse.
(H) It is like a horse.	(H) Ridden by Go=d or the Devil.
(H) Ridden by Go=d or the Devil.	... The rider possesses the will.
... The rider possesses the will.	... The horse .. obeys READ>.
... The horse .. obeys READ>.	... (H) Well that's as clear as you can get it.
... (H) Well that's as clear as you can get it.	... (TSK) Human nature is like a horse.
... (TSK) Human nature is like a horse.	... Ridden by Go=d or the Devil.
... Ridden by Go=d or the Devil.	... The rider possesses free will.
... The rider possesses free will.	... The horse= obeys.
... The horse= obeys.	... Alright that,
... Alright that,	th_now the debate is joined you see.
th_now the debate is joined you see.	And as you come --
And as you come --	as Erasmus comes to this,
