Transcript Name	TimeMark Ut_1	TimeMark Ut_2	Ut_1	Index_1	Edge(s)_1	Ut_2	Index_2	Edge(s)_2	Overlap Type
SBC001.trn	14.10 15.78	15.01 16.78	... [Do the hooves]?	3	[3 to 2, Restatement] 	[(H)=] <YWN Well,	4	[4 to 4, Incomplete]	other
SBC001.trn	21.19 21.74	21.26 22.24	[~Mae-] --	8		[I'm gonna] (Hx) --	9	[9 to 9, Incomplete]	transitional
SBC001.trn	22.24 23.23	22.28 24.25	⌈Mae Lynne xxx ⌉ .	10		[2(H) We're not2] gonna do the feet today,	11	[11 to 2, Answer]	progressional
SBC001.trn	56.79 58.29	56.94 57.79	.. [and I'm not] very strong.	39	[39 to 37, Conjunction]	[Did they train you-] --	40	[40 to 40, QuestionInfoRequest]	recognitional
SBC001.trn	58.29 58.69	58.34 59.29	[2yeah2].	41	[41 to 40, Answer]	[2Did2] they train you that -- 	42	[42 to 40, Restatement, Incomplete]	progressional
SBC001.trn	59.29 60.06	59.57 59.92	X[3X3]*	43		 [3yeah3].	44	[44 to 41, Restatement] [44 to 40, Answer]	other
SBC001.trn	60.73 61.80	60.76 61.31	.. [So you have your] own equipment,	46	[46 to 40, TakeStock] [46 to 46, QuestionInfoRequest]	[(H)]	47		other
SBC001.trn	131.59 131.93	131.59 131.96	[I bet].	115	[115 to 108, Accept] [115 to 114, Restatement]	[(H) and <X then X>],	116	[116 to 116, Incomplete]	recognitional
SBC001.trn	165.02 166.71, 166.70 167.65	166.65 167.05	.. has that .. little white line right the[re. and that]'s where you kinda SM> --	152	[152 to 150, Enabled]	[mhm].	153	[153 to 152, Acknowledge]	recognitional
SBC001.trn	177.24 178.47	178.23 178.44	(H) By doing [it-]. 	163	[163 to 162, Causing]	  [really].	164	[164 to 163, Acknowledge]	recognitional
SBC001.trn	251.37 254.12	252.54 252.74	(H) .. We just [put] the shoes that were already made,	234	[234 to 233, Contrast]	[(THROAT)]	235		other
SBC001.trn	254.12 254.64	254.12 255.10	[2(THROAT)2]	236		[2on2] a horse.	237	[237 to 233, Contrast]	other
SBC001.trn	265.18 265.68	265.43 265.73	They're [really] --	245	[245 to 245, Incomplete]	       [farrier]?	246	[246 to 244, QuestionInfoRequest]	recognitional
SBC001.trn	297.67 299.69	298.42 298.81	You sai[d you never] made the horseshoes,	273	[273 to 273, OpenQuestion, Incomplete]	    [gonna say]	274	[274 to 272, SelfTalk]	progressional
SBC001.trn	350.81 352.94	352.07 352.57	(H) .. And so [what you have] to [2do=2],	327	[327 to 326, CollaborativeCompletion]	[So every] --	328	[328 to 326, Expanding, Incomplete]	recognitional
SBC001.trn	350.81 352.94	352.57 353.42	(H) .. And so [what you have] to [2do=2],	327	[327 to 326, CollaborativeCompletion]	[2every2] uh=,	329	[329 to 326, Expanding, Incomplete]	progressional
SBC001.trn	400.94 401.15	400.94 402.66	[Right].	373	[373 to 372, Answer]	[(H)] then you have to round these back,	374	[374 to 372, Expanding]	other
SBC001.trn	410.19 411.59	411.19 411.54	(H) I mean we ha=d to [do it],	382	[382 to 378, Motivating]	 [(THROAT)]	383		other
SBC001.trn	421.78 422.69	421.78 422.98	[How many have you got].	393	[393 to 393, QuestionInfoRequest]	[(H) thirty] bucks,	394	[394 to 387, Restatement]	recognitional
SBC001.trn	424.04 424.29	424.06 424.99	twen[ty]	396	[396 to 395, Restatement, Incomplete]	[twen]ty-eight horses,	397	[397 to 395, Restatement]	progressional
SBC001.trn	497.85 499.63	497.85 498.29	[This is the] grossest of everything.	453	[453 to 452, Answer]	[<X What X>].	454	[454 to 452, Acknowledge] [454 to 454, QuestionInfoRequest]	transitional
SBC001.trn	515.86 517.36	516.71 519.31	everybody [%=] --	467	[467 to 467, Incomplete]	[I thought] they used the (THROAT) the horsehooves in .. for gelatin,	468	[468 to 463, Correction]	other
SBC001.trn	636.97 637.34	636.92 637.70	[Right].	576	[576 to 575, Acknowledge]	[(H)=] You know,	577	[577 to 575, Expansion]	other
SBC001.trn	725.31 726.08	725.74 726.44	... [Yeah].	648	[648 to 647, Acknowledge]	[It seems] weird,	649	[649 to 647, Evaluating]	transitional
SBC001.trn	726.44 727.24	726.69 726.89	that that's [2like2] that,	650	[650 to 649, Expanding]	[2X2]	651		other
SBC001.trn	737.16 737.44	737.18 738.50	[Yeah].	665	[665 to 664, Acknowledge]	[(TSK) (H)] Sure it's gonna be softer.	666	[666 to 664, Conceding] 	other
SBC001.trn	760.70 762.45	761.52 762.07, 762.07 762.45	and she's still got [a lot more=],	682	[682 to 681, Conjunction]	[<X Where is the, uh= X>],	683	[683 to 683, QuestionInfoRequest]	recognitional
SBC001.trn	764.24 765.34	764.87 765.06, 765.06 765.59	Where [is the XX].	686	[686 to 686, QuestionInfoRequest]	[Oh. Right] here.	687	[687 to 686, Answer]	recognitional
SBC001.trn	768.17 768.38	768.17 769.91	[XX].	690		[(TSK)] But %anyway=,	691	[691 to 691, Statement]	other
SBC001.trn	823.10 824.54	823.92 824.27, 824.27 824.54	how does it get du=st [in it already].	738	[738 to 738, OpenQuestion]	[We=ll, I] --	739	[739 to 738, Answer, Incomplete]	transitional
SBC001.trn	840.92 842.84	841.08 841.39	[In other words] I .. should be .. change filters.	752	[752 to 750, Restatement, Expanding, Instantiating] 	[Ugh=].	753	[753 to 750, Sympathy]	recognitional
SBC001.trn	852.08 852.83	852.39 853.19	it [makes a mess].	760	[760 to 759, Acknowledge] 	[<X I need X> new] filters.	761	[761 to 752, Purposing]	recognitional
SBC001.trn	873.35 873.76	873.70 875.15	M[hm],	777	[777 to 776, Acknowledge]	And] that doesn't bother em a bit,	778	[778 to 777, Conjunction]	recognitional
SBC001.trn	981.32 982.62	982.12 983.51	(H) You're [standing] --	880	[880 to 879, GivingDetails] [880 to 880, Exclamation]	 [((MICROPHONE))]=	881		other
SBC001.trn	996.28 996.63	996.56 997.50	@you [@know].	893	[893 to 893, SelfTalk]	[So you're always bent over].	894	[894 to 890, Acknowledge] [894 to 894, OpenQuestion]	recognitional
SBC001.trn	1006.75 1008.06	1007.45 1008.06	and you have the horse's hoof [right here]?	903	[903 to 902, Conjunction]	[It's hard on your back].	904	[904 to 902, Acknowledge, CollaborativeCompletion]	recognitional
SBC056.trn	20.564 22.344	20.895 21.757, 21.757 22.308	(H) [that's what he wanted to know].	14	[14 to 13, MotivatedBy]	[I've never heard of it. So],	15	[15 to 13, Answer]	recognitional
SBC056.trn	26.295 28.572	26.970 27.772	(H) then [he would have to go] off of that one.	19	[19 to 18, ConditionedBy]	[<P<X Trash= X>P>] --	20		other
SBC056.trn	28.572 30.700, 30.700 32.591	29.975 32.591	If there was no prior brand [2inspection, (H) then he could just go off of this2],	21	[21 to 18, Restatement] [21 to 19, Restatement]	[2((DOOR_CLOSING))2]	22		other
SBC056.trn	42.242 43.790, 43.790 44.590	43.651 44.013	they reinstated it about a year ag[o. (H)] She --	31	[31 to 30, Causing]	[Oh].	32	[32 to 31, Acknowledge]	transitional
SBC056.trn	47.737 48.766	47.828 48.766	.. [if she didn't],	37	[37 to 34, Contrast]	[(H) I wouldn't know].	38	[38 to 34, Answer, CollaborativeCompletion] 	recognitional
SBC056.trn	48.766 49.018, 49.018 49.493, 49.493 50.534	48.766 50.130	[2you know, I just need -- All I need to kn2]ow is,	39	[39 to 39, Statement]	2I don't do any horse things2].	40	[40 to 38, Expanding]	transitional
SBC056.trn	55.793 56.198	55.793 57.027	[Yeah].	48	[48 to 47, Acknowledge]	[(H)]	49		other
SBC056.trn	58.193 58.681	58.588 58.965	.. Unhu[nh].	51	[51 to 50, Acknowledge, Answer]	[O]kay.	52	[52 to 51, Accept]	transitional
SBC056.trn	74.874 76.361, 76.361 76.726	76.011 76.361, 76.361 77.300	but then that's not ... un[usual, cause I] --	64	[64 to 63, Evaluating] [64 to 64, Incomplete]	[Yeah. You don't] ride do you.	65	[65 to 64, Acknowledge, Accept, CollaborativeCompletion]	recognitional
SBC056.trn	97.658 99.172, 99.172 101.336	98.787 99.345, 99.345 99.584	She's gonna work out great [here. (H)] She's gonna go competitive trail riding.	85	[85 to 84, Motivating]	[Alright. good].	86	[86 to 85, Acknowledge]	transitional
SBC056.trn	102.152 103.602, 103.602 104.077	103.326 103.828	thirty-mile competitive trail [rides, with] a,	89	[89 to 87, GivingDetails]	[Wow].	90	[90 to 89, Acknowledge] [90 to 90, Exclamation] 	transitional
SBC056.trn	104.077 105.306, 105.306 108.202	105.039 105.591	an eleven-year-old thi[2s year. (H)2]	92	[92 to 87, GivingDetails]	[2Wow2].	93	[93 to 89, Acknowledge] [93 to 93, Exclamation] 	transitional
SBC056.trn	118.839 119.668	119.380 120.080	had a great [time].	102	[102 to 101, Conjunction]	[Al]right.	103	[103 to 102, Acknowledge]	transitional
SBC056.trn	120.080 121.642	120.667 122.634	Was i- [2on a trail or something2]?	104	[104 to 104, OpenQuestion]	[2And she now goes through2] water just fine.	105	[105 to 102, After, ConditionedBy] 	progressional
