LAURA:	... Look at this.	Isn't this pretty?
Isn't this pretty?	LISBETH:	.. %X.
LISBETH:	.. %X.	... [<X Li=me ..] crea=m X>.
... [<X Li=me ..] crea=m X>.	DON:	[What is that].
DON:	[What is that].	LAURA:	[2~Mary always wears them2].
LAURA:	[2~Mary always wears them2].	X:	[2Wok wok2] wok wok [3wok3],
X:	[2Wok wok2] wok wok [3wok3],	LAURA:	[3She4] brought so[4=me.
LAURA:	[3She4] brought so[4=me.	X:	[4Wok wok4].
X:	[4Wok wok4].	LAURA:	.. I always4] comment [5on them5].
LAURA:	.. I always4] comment [5on them5].	LISBETH:	[5You5] have to be nice to me,
LISBETH:	[5You5] have to be nice to me,	LAURA:	[6She brought6] some --
LAURA:	[6She brought6] some --	DON:	[6<X Aw= X>6],
DON:	[6<X Aw= X>6],	[7that's a7] [8cute <X garden X>8] --
[7that's a7] [8cute <X garden X>8] --	JENN:	[7<VOX (Hx) VOX>7]
JENN:	[7<VOX (Hx) VOX>7]	LISBETH:	[8Sharing my8] candy.
LISBETH:	[8Sharing my8] candy.	JENN:	.. [9<VOX %(Hx) VOX>9]
JENN:	.. [9<VOX %(Hx) VOX>9]	LEANNE:	[9<X Neat9] [container X> for them].
LEANNE:	[9<X Neat9] [container X> for them].	BILL:	[Not cute at] all,
BILL:	[Not cute at] all,	.. [2very elegant2].
.. [2very elegant2].	LISBETH:	[2Yes you are2].
LISBETH:	[2Yes you are2].	JENN:	I am,
JENN:	I am,	.. I am <HI no=t HI> mean to you all the time.
.. I am <HI no=t HI> mean to you all the time.	BILL:	... Look how mean you're being.
BILL:	... Look how mean you're being.	JENN:	... [<HI Well look how mean she's be][2ing HI>2].
JENN:	... [<HI Well look how mean she's be][2ing HI>2].	RICHARD:	[~Jenn you're crue=l].
RICHARD:	[~Jenn you're crue=l].	LAURA:	[2Look2].
LAURA:	[2Look2].	DON:	[3Oh that's wonderful3].
DON:	[3Oh that's wonderful3].	BILL:	[3@@ .. @@3]
BILL:	[3@@ .. @@3]	.. Guilt.
.. Guilt.	MARY:	Looks uh,
MARY:	Looks uh,	BILL:	[~Lisbeth].
BILL:	[~Lisbeth].	LEANNE:	[Mom it looks] so good.
LEANNE:	[Mom it looks] so good.	MARY:	So good.
MARY:	So good.	DON:	It looks lovely.
DON:	It looks lovely.	JENN:	... You know,
JENN:	... You know,	this family w=orks on guilt.
this family w=orks on guilt.	The engine of this family,
The engine of this family,	is a little guilt motor.
is a little guilt motor.	That goes vroo=m [vroo=m vroo=m].
That goes vroo=m [vroo=m vroo=m].	DON:	[@ @@ @]
DON:	[@ @@ @]	LAURA:	I don't agree with you.
LAURA:	I don't agree with you.	JENN:	I t=otally agree.
JENN:	I t=otally agree.	BILL:	[Right.
BILL:	[Right.	JENN:	[I don't --
JENN:	[I don't --	And] --
And] --	BILL:	We're] making you [2feel guilty,
BILL:	We're] making you [2feel guilty,	MARY:	[2<@ I totally agree= @>2],
MARY:	[2<@ I totally agree= @>2],	BILL:	but what2],
BILL:	but what2],	LEANNE:	[3<@ You totally agree3] [4with your4][5se=lf,
LEANNE:	[3<@ You totally agree3] [4with your4][5se=lf,	BILL:	[3what are we3] --
BILL:	[3what are we3] --	LAURA:	[4<X<@ Totally agree @>X>4],
LAURA:	[4<X<@ Totally agree @>X>4],	BILL:	[4@@@4][5@@@ @(H) @(H)5]
BILL:	[4@@@4][5@@@ @(H) @(H)5]	LAURA:	[5@ .. @@@5]
LAURA:	[5@ .. @@@5]	LEANNE:	~Jennifer5],
LEANNE:	~Jennifer5],	you're agreeing with your[6self @>6].
you're agreeing with your[6self @>6].	JENN:	[6Yes6].
JENN:	[6Yes6].	BILL:	[6@I @agree6].
BILL:	[6@I @agree6].	[7.. She totally agreed with herself7].
[7.. She totally agreed with herself7].	MANY:	[7(LAUGHTER)7]
MANY:	[7(LAUGHTER)7]	DON:	[8I totally agree with me8].
DON:	[8I totally agree with me8].	LEANNE:	[8@@ @(H)8]
LEANNE:	[8@@ @(H)8]	MANY:	(LAUGHTER)=
MANY:	(LAUGHTER)=	DON:	Boy if that isn't conceit,
DON:	Boy if that isn't conceit,	n=othing is.
n=othing is.	LISBETH:	[<X That's why it's X>] [2not believable2].
LISBETH:	[<X That's why it's X>] [2not believable2].	DON:	[@@]
DON:	[@@]	LEANNE:	[2(H) @@@2]
LEANNE:	[2(H) @@@2]	X:	XXX
X:	XXX	BILL:	@@@[@@@@]
BILL:	@@@[@@@@]	JENN:	[<@ I totally agree @>].
JENN:	[<@ I totally agree @>].	DON:	[2Such a2] great [3statement3].
DON:	[2Such a2] great [3statement3].	LEANNE:	[2@(H)2]
LEANNE:	[2@(H)2]	LISBETH:	[3Fill in3] the box.
LISBETH:	[3Fill in3] the box.	It's like giving yourself a survey.
It's like giving yourself a survey.	DON:	[XXX.
DON:	[XXX.	MANY:	[(LAUGHTER)]
MANY:	[(LAUGHTER)]	DON:	.. @Right][2=2].
DON:	.. @Right][2=2].	LISBETH:	[2A2]gree with yours- --
LISBETH:	[2A2]gree with yours- --	DON:	@[3@3]
DON:	@[3@3]	LISBETH:	[3@3]
LISBETH:	[3@3]	DON:	.. [4Do you think you're a wonderful person4].
DON:	.. [4Do you think you're a wonderful person4].	LEANNE:	[4@(H) @@@@ .. @(H) @4]
LEANNE:	[4@(H) @@@@ .. @(H) @4]	DON:	Yes.
DON:	Yes.	[Check].
[Check].	BILL:	[@@]
BILL:	[@@]	DON:	[2@(H) @@@@2]
DON:	[2@(H) @@@@2]	LEANNE:	[2@(H) @2][3@@ @(H)3]
LEANNE:	[2@(H) @2][3@@ @(H)3]	BILL:	[2I totally a2][3gree with my3]self.
BILL:	[2I totally a2][3gree with my3]self.	DON:	[3(H) Yeah3].
DON:	[3(H) Yeah3].	[4Do you think4] other peo[5ple are mis5]erable.
[4Do you think4] other peo[5ple are mis5]erable.	LEANNE:	[4(COUGH) (COUGH)4]
LEANNE:	[4(COUGH) (COUGH)4]	BILL:	[5Mhm5].
BILL:	[5Mhm5].	DON:	Yes.
DON:	Yes.	Check.
Check.	MANY:	(LAUGHTER)
MANY:	(LAUGHTER)	DON:	Do [you agree] with me.
DON:	Do [you agree] with me.	LEANNE:	[@(H)]
LEANNE:	[@(H)]	DON:	Yes.
DON:	Yes.	Check.
Check.	MARY:	@@@@@@
MARY:	@@@@@@	BILL:	[@@]
BILL:	[@@]	JENN:	[Shut up].
JENN:	[Shut up].	DON:	[2@@@@@@ @(H)2]
DON:	[2@@@@@@ @(H)2]	LEANNE:	[2@@@@@2] (H)
LEANNE:	[2@@@@@2] (H)	MARY:	[2@ @(GASP)=2]
MARY:	[2@ @(GASP)=2]	@(H)=
@(H)=	DON:	@@@
DON:	@@@	MARY:	@@@
MARY:	@@@	LEANNE:	@@@@@
LEANNE:	@@@@@	DON:	[X=.
DON:	[X=.	BILL:	[(H) <SING We=] three=,
BILL:	[(H) <SING We=] three=,	[2we're all alo2]=ne,
[2we're all alo2]=ne,	DON:	[2@@@@ .. @2]
DON:	[2@@@@ .. @2]	BILL:	(H) [3living in m=isery3][4=4],
BILL:	(H) [3living in m=isery3][4=4],	DON:	[3<SING Living .. -sery3][4=4],
DON:	[3<SING Living .. -sery3][4=4],	JENN:	[4There's4] --
JENN:	[4There's4] --	[5There is a fine line5],
[5There is a fine line5],	BILL:	[5my echo=5],
BILL:	[5my echo=5],	DON:	[5my echo=5],
DON:	[5my echo=5],	BILL:	[6my shadow6][7=7],
BILL:	[6my shadow6][7=7],	DON:	[6my shadow6][7=7],
DON:	[6my shadow6][7=7],	MARY:	[7(COUGH)7]
MARY:	[7(COUGH)7]	BILL:	[8and me= SING>8].
BILL:	[8and me= SING>8].	DON:	[8and me= SING>8].
DON:	[8and me= SING>8].	MANY:	[9(LAUGHTER)9]
MANY:	[9(LAUGHTER)9]	JENN:	[9There is a f9]ine line though,
JENN:	[9There is a f9]ine line though,	[between] guilt and responsibility.
[between] guilt and responsibility.	MARY:	[(COUGH)]
MARY:	[(COUGH)]	JENN:	[2Like you're2] feeling a respon[3sibility3] towards people,
JENN:	[2Like you're2] feeling a respon[3sibility3] towards people,	DON:	[2(TSK) Ah2].
DON:	[2(TSK) Ah2].	[3Mm3].
[3Mm3].	JENN:	And the feeling of guilt,
JENN:	And the feeling of guilt,	to m=ake yourself do things.
to m=ake yourself do things.	DON:	M[hm].
DON:	M[hm].	BILL:	[Right].
BILL:	[Right].	JENN:	And I think tha=t line,
JENN:	And I think tha=t line,	is really fuzzy but I think,
is really fuzzy but I think,	o=ften,
o=ften,	DON:	.. [Talk to me].
DON:	.. [Talk to me].	JENN:	[The gui]=lt .. strings are t=ugg[2ed .. very hard2].
JENN:	[The gui]=lt .. strings are t=ugg[2ed .. very hard2].	LEANNE:	[2That is the biggest crock2] of [3shit I have3] [4ever @heard4].
LEANNE:	[2That is the biggest crock2] of [3shit I have3] [4ever @heard4].	JENN:	[3No it's not3].
JENN:	[3No it's not3].	BILL:	[3<VOX O=ften VOX>3].
BILL:	[3<VOX O=ften VOX>3].	JENN:	[4.. You and4] [5I have had a talk about this be5]fore.
JENN:	[4.. You and4] [5I have had a talk about this be5]fore.	BILL:	[5You='re not an orphan5].
BILL:	[5You='re not an orphan5].	LEANNE:	... No.
LEANNE:	... No.	Well I happen to think [yes,
Well I happen to think [yes,	DON:	[Now tell me],
DON:	[Now tell me],	LEANNE:	that guilt] is [2%a very2] massive [3part of this fami3]ly.
LEANNE:	that guilt] is [2%a very2] massive [3part of this fami3]ly.	DON:	[2~Jenn- w-2] --
DON:	[2~Jenn- w-2] --	[3What happened XXX3].
[3What happened XXX3].	RICHARD:	... [4<P<@<X Guilt for X>@>P>4] --
RICHARD:	... [4<P<@<X Guilt for X>@>P>4] --	LEANNE:	[4Guilt4],
LEANNE:	[4Guilt4],	no,
no,	she's right to a certain extent.
she's right to a certain extent.	BILL:	... Bu[=ll=sh=]i=t.
BILL:	... Bu[=ll=sh=]i=t.	LEANNE:	[This family] --
LEANNE:	[This family] --	@i[2=s,
@i[2=s,	DON:	[2@@@@ @ .. @(H)2]
DON:	[2@@@@ @ .. @(H)2]	LEANNE:	@@@@ (H)
LEANNE:	@@@@ (H)	To a2] [3certain extent.
To a2] [3certain extent.	LAURA:	[3How= do you3] --
LAURA:	[3How= do you3] --	LEANNE:	I3] [4qualif4]ie=d.
LEANNE:	I3] [4qualif4]ie=d.	BILL:	[4Bullshit4].
BILL:	[4Bullshit4].	LEANNE:	(H) <HI We HI> believe in gui[5lt5].
LEANNE:	(H) <HI We HI> believe in gui[5lt5].	BILL:	[5B5]ullshi=t.
BILL:	[5B5]ullshi=t.	LEANNE:	.. You don't [6think this fami6][7ly uses guilt7]?
LEANNE:	.. You don't [6think this fami6][7ly uses guilt7]?	LAURA:	[6Well .. I6] --
LAURA:	[6Well .. I6] --	BILL:	[6.. The trou6][7ble is,
BILL:	[6.. The trou6][7ble is,	a li=ttle7] guilt goes a [8lo=ng way8].
a li=ttle7] guilt goes a [8lo=ng way8].	DON:	[8Lo=ng way8].
DON:	[8Lo=ng way8].	LEANNE:	Especially if you're Jewish.
LEANNE:	Especially if you're Jewish.	JENN:	.. [Yeah].
JENN:	.. [Yeah].	LAURA:	[Do you] [2think2] --
LAURA:	[Do you] [2think2] --	BILL:	[A=nd] [2you g2]uys feel a little bit guilty,
BILL:	[A=nd] [2you g2]uys feel a little bit guilty,	about the way you've treated us all [3these years of life3].
about the way you've treated us all [3these years of life3].	LEANNE:	[3Oh what a cr3][4o=ck4].
LEANNE:	[3Oh what a cr3][4o=ck4].	LAURA:	[3@= @@@@3]
LAURA:	[3@= @@@@3]	DON:	[4@@4]
DON:	[4@@4]	LAURA:	... Now guilt [5works two way5]=s.
LAURA:	... Now guilt [5works two way5]=s.	LEANNE:	[5That's bullshit5].
LEANNE:	[5That's bullshit5].	LISBETH:	... [6Now I've been looking for the May sev6]enteenth New York[7er7].
LISBETH:	... [6Now I've been looking for the May sev6]enteenth New York[7er7].	LEANNE:	[6Oh please,
LEANNE:	[6Oh please,	.. Mother,
.. Mother,	I've learned6],
